cname,tname,year,role,,,,
Danny Elfman,Charlie and the Chocolate Factory,2005,soundtrack,,,,
Danny Elfman,Oakwood,2005,soundtrack,,,,
Danny Elfman,Enron: The Smartest Guys in the Room,2005,soundtrack,,,,
Danny Elfman,Independent Lens,2005,soundtrack,,,,
Danny Elfman,The Nightmare Before Christmas: Oogie's Revenge,2004,soundtrack,,,,
Danny Elfman,Sleepover,2004,soundtrack,,,,
Danny Elfman,Spider-Man 2,2004,soundtrack,,,,
Danny Elfman,Hell's Kitchen,2004,soundtrack,,,,
Danny Elfman,Troy,2004,soundtrack,,,,
Danny Elfman,Big Fish,2003,soundtrack,,,,
Danny Elfman,The Victoria's Secret Fashion Show,2003,soundtrack,,,,
Danny Elfman,Average Joe,2003,soundtrack,,,,
Danny Elfman,Hulk,2003,soundtrack,,,,
Danny Elfman,The In-Laws,N/A,soundtrack,,,,
Danny Elfman,Pauly Shore Is Dead,2003,soundtrack,,,,
Danny Elfman,Chicago,2002,soundtrack,,,,
Danny Elfman,My Own Partridge Family,2002,soundtrack,,,,
Danny Elfman,Pretenders,2002,soundtrack,,,,
Danny Elfman,Kingdom Hearts,2002,soundtrack,,,,
Danny Elfman,Spy Kids,2001,soundtrack,,,,
Danny Elfman,Donnie Darko,2001,soundtrack,,,,
Danny Elfman,Condo Painting,2000,soundtrack,,,,
Danny Elfman,Kung Fu Kenobi's Big Adventure,1999,soundtrack,,,,
Danny Elfman,Anywhere But Here,1999,soundtrack,,,,
Danny Elfman,Never Been Kissed,1999,soundtrack,,,,
Danny Elfman,My Favorite Martian,1999,soundtrack,,,,
Danny Elfman,The New Batman Adventures,1997,soundtrack,,,,
Danny Elfman,Chanel No. 5: Le Loup,1998,soundtrack,,,,
Danny Elfman,For Richer or Poorer,1997,soundtrack,,,,
Danny Elfman,Home Alone 3,1997,soundtrack,,,,
Danny Elfman,Flubber,1997,soundtrack,,,,
Danny Elfman,Clueless,1997,soundtrack,,,,
Danny Elfman,Casper: A Spirited Beginning,1997,soundtrack,,,,
Danny Elfman,Tales from the Crypt,1989,soundtrack,,,,
Danny Elfman,Disney Sing-Along-Songs: Topsy Turvy,1996,soundtrack,,,,
Danny Elfman,Batman: The Animated Series,1992,soundtrack,,,,
Danny Elfman,The Immortals,1995,soundtrack,,,,
Danny Elfman,What's Up Doc?,1994,soundtrack,,,,
Danny Elfman,Mystery Science Theater 3000,1992,soundtrack,,,,
Danny Elfman,Batman Returns,N/A,soundtrack,,,,
Danny Elfman,The Nightmare Before Christmas,1993,soundtrack,,,,
Danny Elfman,Batman Returns,1992,soundtrack,,,,
